BarCode,MRP,ItemName,Category,SubCategory,COMPANY,BRAND,UnitType
8901103122014,29,FEM HAIR REMOVER LEMON 40,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103122052,39,FEM HAIR REMOVING CREAM LEMON 25g,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103122069,49,FEM HAIR REMOVER LEMON 40G,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103122076,51,FEM HAIR REMOV ANTI DARKENING LEMON 40g,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103123011,51,FEM HAIR REMOVER CREAM CHANDAN 40 G,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103123059,39,FEM HAIR REM SANDAL TUBE 25G,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103123066,45,FEM HAIR REMOVER CHANDAN 40G,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103123073,51,FEM HAIR REMOV ANTI DARKENING SANDAL 40g,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103124018,0,FEM HAIR REMOVING CREAM BLOSSOM40GM JAR,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103124056,45,FEM HAIR REMOV ANTI DARKENING BLOSOM 25g,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103124063,49,FEM HAIR REMOVER NORMAL 40G,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103124070,52,FEM HAIR REMOV ANTI DARKENING BLOSOM 40g,PERSONAL CARE,DEPILATORY AIDS,DABUR,FEM ,PC
8901103127019,0,FEM TURMERIC HERBAL BLEACH 8GM.,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
8901103127026,50,FEM HERBAL BLEACH CREAM 15G,PERSONAL CARE,"CREAMS, LOTIONS",DABUR,FEM ,PC
